J       CT       CP       eta
0.131   0.0864   0.0409   0.278
0.163   0.0834   0.0411   0.330
0.198   0.0794   0.0412   0.382
0.227   0.0755   0.0409   0.420
0.264   0.0701   0.0404   0.459
0.300   0.0641   0.0394   0.488
0.330   0.0590   0.0383   0.508
0.361   0.0531   0.0369   0.519
0.393   0.0464   0.0351   0.520
0.427   0.0391   0.0330   0.506
0.465   0.0310   0.0305   0.473
0.497   0.0241   0.0280   0.428
0.529   0.0166   0.0251   0.350
0.561   0.0092   0.0220   0.236
0.590   0.0025   0.0190   0.078
0.619   -0.0052   0.0153   -0.211
0.655   -0.0143   0.0107   -0.875
