J       CT       CP       eta
0.125   0.1019   0.0482   0.264
0.153   0.1006   0.0492   0.313
0.185   0.0965   0.0491   0.363
0.219   0.0930   0.0493   0.413
0.253   0.0877   0.0488   0.454
0.288   0.0820   0.0479   0.493
0.319   0.0751   0.0461   0.520
0.351   0.0690   0.0447   0.541
0.386   0.0608   0.0422   0.556
0.421   0.0530   0.0397   0.561
0.455   0.0445   0.0365   0.556
0.487   0.0367   0.0334   0.536
0.518   0.0290   0.0300   0.501
0.553   0.0222   0.0272   0.453
0.585   0.0140   0.0231   0.354
0.613   0.0077   0.0201   0.235
0.648   0.0006   0.0168   0.024
