J       CT       CP       eta
0.085   0.1209   0.0582   0.177
0.123   0.1187   0.0589   0.247
0.146   0.1171   0.0592   0.289
0.171   0.1153   0.0597   0.330
0.198   0.1129   0.0601   0.372
0.225   0.1112   0.0608   0.412
0.253   0.1075   0.0608   0.448
0.281   0.1047   0.0611   0.481
0.308   0.1007   0.0610   0.508
0.335   0.0973   0.0609   0.535
0.361   0.0929   0.0604   0.556
0.389   0.0887   0.0601   0.573
0.414   0.0850   0.0596   0.591
0.441   0.0809   0.0590   0.604
0.465   0.0760   0.0578   0.611
0.490   0.0717   0.0569   0.616
0.517   0.0667   0.0555   0.621
