J       CT       CP       eta
0.408   0.0990   0.0708   0.571
0.429   0.0944   0.0693   0.585
0.452   0.0894   0.0678   0.597
0.479   0.0829   0.0653   0.608
0.501   0.0782   0.0638   0.614
0.523   0.0737   0.0624   0.618
0.550   0.0674   0.0602   0.616
0.573   0.0632   0.0589   0.614
0.595   0.0578   0.0568   0.606
0.625   0.0505   0.0539   0.585
0.647   0.0457   0.0520   0.568
0.667   0.0403   0.0498   0.541
0.698   0.0319   0.0460   0.484
0.713   0.0273   0.0440   0.443
0.739   0.0203   0.0409   0.366
0.768   0.0118   0.0373   0.243
0.788   0.0054   0.0344   0.124
0.808   -0.0014   0.0311   -0.037
0.842   -0.0119   0.0262   -0.383
0.858   -0.0170   0.0239   -0.609
0.887   -0.0263   0.0195   -1.201
0.911   -0.0344   0.0156   -2.012
0.937   -0.0429   0.0116   -3.472
0.960   -0.0508   0.0078   -6.236
