J       CT       CP       eta
0.103   0.1006   0.0454   0.229
0.138   0.0983   0.0458   0.296
0.160   0.0968   0.0460   0.337
0.185   0.0948   0.0463   0.380
0.212   0.0927   0.0466   0.422
0.237   0.0908   0.0469   0.459
0.265   0.0877   0.0469   0.495
0.291   0.0850   0.0470   0.526
0.318   0.0820   0.0471   0.554
0.340   0.0794   0.0472   0.572
0.367   0.0755   0.0470   0.590
0.393   0.0713   0.0466   0.601
0.420   0.0649   0.0450   0.605
0.448   0.0570   0.0423   0.603
0.477   0.0486   0.0390   0.595
0.501   0.0423   0.0363   0.584
0.524   0.0374   0.0341   0.573
