J       CT       CP       eta
0.105   0.0801   0.0355   0.238
0.131   0.0775   0.0352   0.288
0.158   0.0745   0.0351   0.336
0.185   0.0713   0.0348   0.379
0.210   0.0681   0.0344   0.415
0.237   0.0644   0.0340   0.448
0.263   0.0602   0.0333   0.475
0.289   0.0558   0.0325   0.497
0.317   0.0508   0.0313   0.515
0.339   0.0471   0.0304   0.526
0.368   0.0421   0.0291   0.532
0.398   0.0366   0.0275   0.529
0.421   0.0320   0.0260   0.517
0.450   0.0253   0.0237   0.482
0.473   0.0204   0.0218   0.442
0.499   0.0149   0.0197   0.379
0.521   0.0103   0.0178   0.302
