J       CT       CP       eta
0.119   0.1096   0.0552   0.235
0.152   0.1067   0.0555   0.292
0.188   0.1049   0.0570   0.347
0.218   0.1027   0.0575   0.389
0.251   0.1000   0.0583   0.430
0.288   0.0964   0.0589   0.471
0.324   0.0924   0.0594   0.504
0.357   0.0884   0.0596   0.530
0.392   0.0836   0.0592   0.553
0.424   0.0790   0.0588   0.570
0.456   0.0740   0.0579   0.582
0.488   0.0688   0.0568   0.591
0.516   0.0639   0.0556   0.593
0.553   0.0568   0.0534   0.588
0.586   0.0507   0.0516   0.575
0.623   0.0418   0.0479   0.545
0.644   0.0372   0.0458   0.523
