J       CT       CP       eta
0.117   0.1409   0.0734   0.225
0.144   0.1372   0.0729   0.272
0.171   0.1324   0.0719   0.316
0.197   0.1289   0.0715   0.355
0.227   0.1237   0.0705   0.398
0.260   0.1175   0.0690   0.443
0.291   0.1121   0.0680   0.479
0.316   0.1065   0.0664   0.507
0.344   0.1000   0.0646   0.534
0.376   0.0920   0.0621   0.558
0.398   0.0860   0.0600   0.571
0.430   0.0774   0.0569   0.585
0.457   0.0701   0.0542   0.590
0.487   0.0620   0.0512   0.589
0.517   0.0539   0.0481   0.580
0.540   0.0474   0.0455   0.563
0.574   0.0380   0.0419   0.521
