J       CT       CP       eta
0.089   0.1171   0.0523   0.200
0.112   0.1139   0.0522   0.244
0.134   0.1094   0.0512   0.287
0.156   0.1064   0.0511   0.324
0.176   0.1020   0.0500   0.359
0.199   0.0978   0.0493   0.394
0.225   0.0930   0.0483   0.433
0.246   0.0888   0.0475   0.461
0.266   0.0847   0.0465   0.485
0.287   0.0813   0.0460   0.508
0.309   0.0777   0.0454   0.529
0.332   0.0729   0.0444   0.544
0.358   0.0680   0.0434   0.560
0.379   0.0638   0.0424   0.569
0.396   0.0600   0.0414   0.573
0.421   0.0542   0.0398   0.573
0.445   0.0484   0.0381   0.566
