J       CT       CP       eta
0.445   0.0904   0.0736   0.546
0.470   0.0852   0.0723   0.554
0.495   0.0804   0.0711   0.559
0.521   0.0750   0.0695   0.562
0.552   0.0676   0.0667   0.559
0.576   0.0612   0.0639   0.552
0.601   0.0556   0.0617   0.541
0.625   0.0493   0.0588   0.524
0.662   0.0402   0.0547   0.487
0.683   0.0352   0.0522   0.460
0.703   0.0303   0.0499   0.426
0.735   0.0224   0.0460   0.359
0.762   0.0157   0.0424   0.281
0.785   0.0100   0.0395   0.199
0.811   0.0034   0.0360   0.077
0.845   -0.0051   0.0314   -0.137
0.865   -0.0105   0.0285   -0.319
0.897   -0.0191   0.0237   -0.722
0.916   -0.0245   0.0207   -1.082
0.952   -0.0345   0.0153   -2.150
0.967   -0.0387   0.0130   -2.874
1.001   -0.0488   0.0076   -6.397
