J       CT       CP       eta
0.106   0.1086   0.0589   0.195
0.135   0.1078   0.0591   0.247
0.160   0.1062   0.0593   0.287
0.186   0.1047   0.0597   0.326
0.214   0.1026   0.0601   0.366
0.243   0.1002   0.0605   0.403
0.270   0.0979   0.0608   0.435
0.294   0.0957   0.0611   0.460
0.321   0.0923   0.0611   0.485
0.352   0.0893   0.0615   0.511
0.378   0.0859   0.0615   0.529
0.404   0.0825   0.0615   0.542
0.427   0.0791   0.0613   0.552
0.454   0.0752   0.0611   0.559
0.480   0.0706   0.0604   0.561
0.505   0.0654   0.0591   0.558
0.531   0.0599   0.0576   0.552
