J       CT       CP       eta
0.406   0.0511   0.0388   0.534
0.431   0.0467   0.0377   0.533
0.453   0.0425   0.0364   0.528
0.480   0.0368   0.0345   0.512
0.502   0.0327   0.0331   0.497
0.526   0.0281   0.0314   0.471
0.549   0.0234   0.0296   0.434
0.571   0.0189   0.0279   0.388
0.605   0.0117   0.0249   0.286
0.623   0.0077   0.0230   0.208
0.653   0.0011   0.0199   0.034
0.672   -0.0035   0.0180   -0.130
0.701   -0.0106   0.0144   -0.516
0.724   -0.0159   0.0116   -0.990
0.737   -0.0192   0.0098   -1.443
