J       CT       CP       eta
0.165   0.0941   0.0539   0.288
0.214   0.0886   0.0543   0.349
0.255   0.0845   0.0548   0.394
0.301   0.0767   0.0540   0.428
0.340   0.0706   0.0530   0.453
0.400   0.0610   0.0504   0.484
0.438   0.0540   0.0481   0.493
0.483   0.0449   0.0451   0.481
0.531   0.0346   0.0410   0.448
0.567   0.0265   0.0372   0.404
0.614   0.0151   0.0318   0.292
0.664   0.0045   0.0265   0.112
0.705   -0.0056   0.0217   -0.183
0.753   -0.0164   0.0162   -0.760
0.790   -0.0250   0.0118   -1.669
