J       CT       CP       eta
0.114   0.1169   0.0547   0.243
0.143   0.1113   0.0537   0.296
0.173   0.1049   0.0524   0.346
0.199   0.0994   0.0512   0.386
0.227   0.0933   0.0498   0.426
0.260   0.0860   0.0479   0.466
0.286   0.0801   0.0465   0.493
0.313   0.0738   0.0449   0.515
0.340   0.0676   0.0434   0.530
0.371   0.0600   0.0415   0.537
0.400   0.0524   0.0394   0.533
0.433   0.0437   0.0369   0.512
0.454   0.0379   0.0353   0.488
0.485   0.0292   0.0328   0.431
0.513   0.0210   0.0305   0.354
0.543   0.0126   0.0281   0.243
0.571   0.0041   0.0257   0.092
