J       CT       CP       eta
0.069   0.0623   0.0246   0.175
0.095   0.0589   0.0245   0.230
0.113   0.0566   0.0244   0.264
0.134   0.0537   0.0241   0.299
0.156   0.0505   0.0237   0.332
0.178   0.0470   0.0233   0.358
0.197   0.0440   0.0229   0.378
0.220   0.0404   0.0224   0.396
0.243   0.0366   0.0218   0.408
0.263   0.0333   0.0212   0.415
0.284   0.0298   0.0205   0.414
0.305   0.0263   0.0197   0.407
0.327   0.0219   0.0186   0.386
0.347   0.0184   0.0177   0.360
0.369   0.0143   0.0166   0.318
0.388   0.0109   0.0156   0.271
0.411   0.0066   0.0144   0.190
