J       CT       CP       eta
0.096   0.0878   0.0365   0.232
0.122   0.0853   0.0365   0.286
0.145   0.0834   0.0366   0.330
0.168   0.0809   0.0367   0.371
0.193   0.0784   0.0369   0.410
0.218   0.0752   0.0369   0.444
0.241   0.0721   0.0368   0.472
0.265   0.0682   0.0364   0.496
0.291   0.0631   0.0355   0.516
0.315   0.0579   0.0343   0.532
0.334   0.0540   0.0332   0.543
0.362   0.0480   0.0315   0.551
0.381   0.0440   0.0303   0.552
0.408   0.0383   0.0285   0.547
0.430   0.0334   0.0270   0.531
0.457   0.0273   0.0250   0.498
0.478   0.0226   0.0234   0.461
