J       CT       CP       eta
0.130   0.1032   0.0515   0.261
0.164   0.1006   0.0522   0.316
0.198   0.0979   0.0529   0.367
0.233   0.0946   0.0534   0.413
0.265   0.0917   0.0539   0.452
0.297   0.0879   0.0540   0.484
0.331   0.0837   0.0539   0.514
0.364   0.0789   0.0535   0.537
0.392   0.0751   0.0531   0.553
0.426   0.0692   0.0522   0.564
0.457   0.0628   0.0505   0.568
0.490   0.0558   0.0484   0.565
0.525   0.0479   0.0455   0.552
0.558   0.0403   0.0423   0.532
0.591   0.0331   0.0391   0.500
0.624   0.0261   0.0357   0.456
0.656   0.0186   0.0318   0.383
