J       CT       CP       eta
0.481   0.1104   0.1052   0.505
0.514   0.1052   0.1056   0.512
0.545   0.0999   0.1056   0.515
0.574   0.0947   0.1057   0.514
0.599   0.0888   0.1053   0.506
0.627   0.0810   0.1034   0.492
0.662   0.0712   0.1006   0.469
0.682   0.0651   0.0984   0.451
0.718   0.0528   0.0928   0.408
0.745   0.0451   0.0893   0.377
0.769   0.0384   0.0866   0.341
0.806   0.0279   0.0816   0.276
0.832   0.0216   0.0791   0.227
0.856   0.0144   0.0763   0.161
0.893   0.0042   0.0720   0.053
0.918   -0.0028   0.0687   -0.038
0.942   -0.0090   0.0662   -0.129
0.979   -0.0194   0.0614   -0.309
1.002   -0.0258   0.0584   -0.442
1.037   -0.0357   0.0536   -0.691
1.062   -0.0428   0.0504   -0.902
1.095   -0.0528   0.0452   -1.280
1.116   -0.0593   0.0419   -1.577
1.150   -0.0695   0.0367   -2.176
