J       CT       CP       eta
0.371   0.0776   0.0480   0.599
0.396   0.0742   0.0479   0.613
0.414   0.0715   0.0477   0.621
0.436   0.0673   0.0469   0.625
0.460   0.0613   0.0451   0.625
0.479   0.0563   0.0434   0.621
0.501   0.0492   0.0404   0.610
0.524   0.0425   0.0375   0.595
0.544   0.0377   0.0353   0.580
0.566   0.0326   0.0330   0.560
0.590   0.0276   0.0307   0.530
0.609   0.0238   0.0289   0.502
0.638   0.0174   0.0259   0.430
0.656   0.0140   0.0243   0.378
0.679   0.0091   0.0219   0.281
0.701   0.0045   0.0197   0.161
0.724   0.0001   0.0174   0.003
0.746   -0.0049   0.0147   -0.248
0.768   -0.0098   0.0118   -0.636
0.789   -0.0142   0.0092   -1.223
0.813   -0.0198   0.0061   -2.665
