J       CT       CP       eta
0.411   0.0919   0.0666   0.567
0.434   0.0890   0.0666   0.581
0.458   0.0859   0.0664   0.592
0.481   0.0823   0.0660   0.600
0.506   0.0785   0.0656   0.605
0.529   0.0748   0.0651   0.609
0.551   0.0710   0.0643   0.608
0.573   0.0664   0.0631   0.604
0.596   0.0614   0.0615   0.595
0.631   0.0530   0.0582   0.574
0.651   0.0480   0.0561   0.557
0.671   0.0422   0.0533   0.532
0.699   0.0350   0.0497   0.492
0.721   0.0290   0.0464   0.450
0.748   0.0221   0.0425   0.389
0.769   0.0165   0.0392   0.324
0.797   0.0097   0.0354   0.218
0.815   0.0050   0.0326   0.126
0.838   -0.0005   0.0294   -0.015
0.869   -0.0086   0.0246   -0.305
0.886   -0.0127   0.0220   -0.510
0.913   -0.0195   0.0174   -1.021
