J       CT       CP       eta
0.162   0.1004   0.0529   0.307
0.200   0.0970   0.0532   0.365
0.238   0.0928   0.0532   0.415
0.279   0.0881   0.0536   0.459
0.325   0.0802   0.0530   0.492
0.360   0.0716   0.0510   0.506
0.408   0.0583   0.0463   0.514
0.442   0.0510   0.0436   0.517
0.488   0.0415   0.0400   0.507
0.516   0.0367   0.0382   0.495
0.562   0.0278   0.0349   0.448
0.609   0.0187   0.0311   0.366
0.646   0.0105   0.0274   0.248
0.688   0.0014   0.0231   0.040
0.722   -0.0064   0.0194   -0.239
0.766   -0.0165   0.0143   -0.882
0.805   -0.0256   0.0096   -2.154
