J       CT       CP       eta
0.139   0.0964   0.0652   0.205
0.173   0.0944   0.0655   0.249
0.211   0.0920   0.0653   0.298
0.250   0.0889   0.0653   0.340
0.287   0.0853   0.0655   0.374
0.321   0.0816   0.0652   0.402
0.361   0.0776   0.0650   0.431
0.395   0.0733   0.0643   0.451
0.432   0.0689   0.0640   0.465
0.465   0.0638   0.0629   0.473
0.508   0.0556   0.0607   0.466
0.535   0.0497   0.0588   0.452
0.577   0.0399   0.0547   0.421
0.610   0.0323   0.0515   0.383
0.651   0.0228   0.0476   0.311
0.689   0.0136   0.0425   0.221
0.727   0.0056   0.0386   0.105
