J       CT       CP       eta
0.087   0.0955   0.0402   0.207
0.109   0.0939   0.0406   0.252
0.130   0.0917   0.0406   0.292
0.153   0.0891   0.0409   0.333
0.173   0.0869   0.0410   0.366
0.198   0.0841   0.0412   0.404
0.221   0.0811   0.0412   0.435
0.242   0.0776   0.0409   0.459
0.265   0.0743   0.0407   0.484
0.283   0.0710   0.0401   0.502
0.304   0.0672   0.0395   0.517
0.327   0.0622   0.0384   0.530
0.350   0.0574   0.0373   0.539
0.371   0.0532   0.0361   0.546
0.394   0.0482   0.0347   0.548
0.413   0.0442   0.0334   0.547
0.437   0.0390   0.0315   0.540
