J       CT       CP       eta
0.503   0.0712   0.0736   0.487
0.538   0.0662   0.0725   0.491
0.567   0.0618   0.0716   0.489
0.594   0.0575   0.0706   0.484
0.624   0.0524   0.0694   0.471
0.657   0.0453   0.0670   0.444
0.683   0.0394   0.0645   0.417
0.725   0.0290   0.0597   0.352
0.749   0.0231   0.0570   0.303
0.780   0.0150   0.0530   0.220
0.810   0.0076   0.0491   0.125
0.845   -0.0021   0.0441   -0.039
0.877   -0.0104   0.0396   -0.230
0.905   -0.0181   0.0354   -0.464
0.937   -0.0273   0.0311   -0.822
0.968   -0.0361   0.0265   -1.322
0.997   -0.0439   0.0219   -2.000
1.029   -0.0533   0.0169   -3.246
1.057   -0.0610   0.0123   -5.232
1.089   -0.0700   0.0070   -10.916
