J       CT       CP       eta
0.372   0.0584   0.0406   0.534
0.392   0.0548   0.0399   0.540
0.414   0.0515   0.0391   0.546
0.438   0.0474   0.0381   0.545
0.463   0.0427   0.0366   0.539
0.480   0.0395   0.0357   0.532
0.500   0.0354   0.0342   0.518
0.528   0.0296   0.0321   0.487
0.548   0.0258   0.0308   0.460
0.567   0.0220   0.0293   0.425
0.594   0.0161   0.0269   0.356
0.614   0.0118   0.0250   0.290
0.637   0.0067   0.0227   0.188
0.658   0.0019   0.0206   0.060
0.680   -0.0032   0.0182   -0.119
0.702   -0.0088   0.0154   -0.402
0.724   -0.0137   0.0128   -0.775
0.745   -0.0189   0.0100   -1.407
0.768   -0.0245   0.0070   -2.702
