J       CT       CP       eta
0.414   0.0831   0.0600   0.573
0.439   0.0788   0.0593   0.584
0.463   0.0743   0.0583   0.590
0.485   0.0694   0.0569   0.590
0.512   0.0620   0.0541   0.586
0.534   0.0557   0.0514   0.579
0.556   0.0493   0.0485   0.565
0.590   0.0391   0.0436   0.530
0.610   0.0333   0.0405   0.502
0.633   0.0270   0.0372   0.460
0.660   0.0199   0.0333   0.395
0.682   0.0143   0.0301   0.324
0.710   0.0074   0.0261   0.200
0.731   0.0022   0.0232   0.070
0.761   -0.0045   0.0193   -0.178
0.779   -0.0088   0.0168   -0.406
0.809   -0.0160   0.0124   -1.040
0.835   -0.0222   0.0086   -2.164
