J       CT       CP       eta
0.093   0.1198   0.0571   0.196
0.122   0.1172   0.0578   0.248
0.152   0.1147   0.0589   0.297
0.177   0.1114   0.0590   0.335
0.206   0.1062   0.0588   0.372
0.232   0.1023   0.0589   0.403
0.258   0.0969   0.0583   0.428
0.287   0.0907   0.0570   0.456
0.313   0.0853   0.0560   0.477
0.340   0.0798   0.0548   0.495
0.372   0.0728   0.0530   0.511
0.396   0.0670   0.0511   0.520
0.426   0.0615   0.0494   0.531
0.452   0.0565   0.0478   0.534
0.478   0.0512   0.0459   0.533
0.502   0.0466   0.0442   0.529
0.532   0.0404   0.0417   0.515
