J       CT       CP       eta
0.410   0.0482   0.0442   0.448
0.434   0.0446   0.0432   0.448
0.459   0.0402   0.0419   0.441
0.487   0.0353   0.0402   0.427
0.509   0.0315   0.0389   0.412
0.528   0.0282   0.0377   0.395
0.557   0.0228   0.0357   0.356
0.580   0.0184   0.0339   0.314
0.602   0.0141   0.0321   0.264
0.631   0.0079   0.0295   0.168
0.656   0.0023   0.0271   0.056
0.682   -0.0036   0.0243   -0.101
0.708   -0.0100   0.0214   -0.331
0.730   -0.0152   0.0190   -0.581
0.757   -0.0219   0.0159   -1.042
0.783   -0.0279   0.0131   -1.666
0.805   -0.0336   0.0106   -2.559
