RPM    CT       CP
2485   0.0763   0.0530
2792   0.0742   0.0506
3061   0.0782   0.0522
3332   0.0787   0.0517
3607   0.0810   0.0529
3846   0.0810   0.0514
4144   0.0814   0.0512
4410   0.0830   0.0517
4662   0.0861   0.0522
4967   0.0863   0.0514
5251   0.0868   0.0510
5527   0.0867   0.0495
5783   0.0900   0.0509
6073   0.0905   0.0502
6342   0.0908   0.0498
6616   0.0919   0.0501
