J       CT       CP       eta
0.112   0.1182   0.0575   0.229
0.131   0.1163   0.0577   0.264
0.155   0.1136   0.0577   0.306
0.175   0.1112   0.0578   0.337
0.197   0.1090   0.0580   0.370
0.218   0.1064   0.0580   0.401
0.244   0.1029   0.0578   0.435
0.264   0.1005   0.0577   0.460
0.289   0.0972   0.0575   0.487
0.309   0.0946   0.0573   0.510
0.332   0.0913   0.0571   0.530
0.351   0.0884   0.0568   0.547
0.371   0.0853   0.0564   0.561
0.393   0.0821   0.0561   0.575
0.419   0.0782   0.0556   0.588
0.443   0.0728   0.0541   0.596
