J       CT       CP       eta
0.098   0.0887   0.0487   0.179
0.126   0.0871   0.0485   0.226
0.153   0.0847   0.0486   0.267
0.180   0.0816   0.0487   0.301
0.209   0.0750   0.0483   0.325
0.233   0.0712   0.0481   0.345
0.265   0.0672   0.0479   0.372
0.292   0.0640   0.0474   0.393
0.315   0.0608   0.0468   0.409
0.346   0.0564   0.0459   0.425
0.370   0.0532   0.0452   0.436
0.401   0.0482   0.0441   0.439
0.427   0.0439   0.0428   0.438
0.451   0.0400   0.0415   0.434
0.479   0.0352   0.0400   0.421
0.504   0.0310   0.0386   0.406
0.534   0.0256   0.0365   0.375
