J       CT       CP       eta
0.094   0.0858   0.0477   0.170
0.121   0.0833   0.0472   0.214
0.143   0.0809   0.0470   0.246
0.166   0.0784   0.0469   0.277
0.192   0.0753   0.0466   0.311
0.216   0.0730   0.0464   0.339
0.241   0.0703   0.0461   0.367
0.265   0.0674   0.0458   0.390
0.286   0.0648   0.0455   0.408
0.313   0.0607   0.0448   0.424
0.340   0.0568   0.0441   0.438
0.364   0.0535   0.0435   0.447
0.384   0.0503   0.0428   0.451
0.407   0.0464   0.0419   0.451
0.430   0.0427   0.0409   0.449
0.456   0.0369   0.0391   0.431
0.479   0.0329   0.0380   0.414
