J       CT       CP       eta
0.085   0.1074   0.0481   0.190
0.108   0.1060   0.0485   0.236
0.134   0.1039   0.0488   0.285
0.155   0.1021   0.0492   0.322
0.176   0.1000   0.0494   0.356
0.197   0.0980   0.0497   0.388
0.220   0.0955   0.0499   0.420
0.243   0.0932   0.0502   0.450
0.266   0.0904   0.0503   0.478
0.287   0.0874   0.0502   0.499
0.309   0.0846   0.0503   0.520
0.328   0.0817   0.0500   0.536
0.351   0.0784   0.0497   0.552
0.371   0.0748   0.0491   0.565
0.392   0.0711   0.0485   0.575
0.415   0.0664   0.0474   0.580
0.435   0.0622   0.0462   0.586
