J       CT       CP       eta
0.123   0.1062   0.0580   0.224
0.152   0.1033   0.0579   0.271
0.184   0.1001   0.0579   0.318
0.214   0.0964   0.0577   0.359
0.249   0.0922   0.0575   0.400
0.282   0.0885   0.0575   0.435
0.316   0.0840   0.0572   0.464
0.349   0.0792   0.0568   0.487
0.384   0.0726   0.0556   0.501
0.415   0.0646   0.0534   0.503
0.445   0.0575   0.0508   0.504
0.483   0.0481   0.0469   0.495
0.515   0.0409   0.0440   0.479
0.548   0.0329   0.0410   0.439
0.575   0.0274   0.0388   0.406
0.610   0.0199   0.0355   0.342
0.639   0.0130   0.0320   0.260
