J       CT       CP       eta
0.374   0.0851   0.0564   0.563
0.397   0.0811   0.0559   0.576
0.420   0.0773   0.0554   0.587
0.442   0.0730   0.0543   0.595
0.463   0.0685   0.0530   0.599
0.487   0.0620   0.0505   0.598
0.503   0.0579   0.0488   0.597
0.528   0.0504   0.0455   0.585
0.550   0.0442   0.0426   0.570
0.576   0.0367   0.0390   0.542
0.593   0.0320   0.0365   0.519
0.619   0.0251   0.0329   0.473
0.637   0.0208   0.0305   0.434
0.666   0.0133   0.0264   0.337
0.682   0.0094   0.0242   0.266
0.709   0.0025   0.0200   0.087
0.725   -0.0012   0.0179   -0.047
0.747   -0.0065   0.0147   -0.333
0.772   -0.0123   0.0111   -0.861
0.795   -0.0179   0.0076   -1.862
