J       CT       CP       eta
0.116   0.1171   0.0633   0.215
0.158   0.1153   0.0646   0.283
0.184   0.1137   0.0650   0.321
0.219   0.1120   0.0663   0.369
0.256   0.1092   0.0672   0.416
0.286   0.1074   0.0682   0.450
0.322   0.1037   0.0690   0.485
0.357   0.1003   0.0697   0.514
0.391   0.0966   0.0702   0.539
0.427   0.0919   0.0700   0.560
0.461   0.0875   0.0701   0.575
0.494   0.0827   0.0697   0.586
0.525   0.0783   0.0692   0.595
0.554   0.0742   0.0685   0.599
0.583   0.0687   0.0669   0.599
0.615   0.0629   0.0649   0.595
0.649   0.0563   0.0628   0.582
