J       CT       CP       eta
0.424   0.0749   0.0484   0.657
0.450   0.0718   0.0480   0.673
0.474   0.0690   0.0476   0.687
0.498   0.0657   0.0471   0.695
0.521   0.0625   0.0464   0.702
0.546   0.0585   0.0453   0.706
0.569   0.0546   0.0441   0.704
0.598   0.0483   0.0415   0.696
0.621   0.0430   0.0391   0.684
0.648   0.0361   0.0355   0.660
0.669   0.0310   0.0326   0.634
0.703   0.0225   0.0278   0.569
0.723   0.0184   0.0254   0.524
0.753   0.0124   0.0220   0.425
0.774   0.0083   0.0195   0.330
0.797   0.0042   0.0169   0.199
0.827   -0.0017   0.0131   -0.109
0.847   -0.0052   0.0107   -0.413
