J       CT       CP       eta
0.142   0.0962   0.0451   0.302
0.178   0.0908   0.0446   0.362
0.216   0.0844   0.0436   0.419
0.255   0.0784   0.0427   0.468
0.289   0.0720   0.0414   0.503
0.326   0.0663   0.0407   0.530
0.361   0.0591   0.0392   0.544
0.399   0.0514   0.0375   0.548
0.438   0.0426   0.0352   0.531
0.468   0.0360   0.0335   0.502
0.510   0.0252   0.0308   0.418
0.534   0.0192   0.0292   0.351
0.577   0.0072   0.0258   0.161
0.613   -0.0033   0.0228   -0.088
0.648   -0.0137   0.0199   -0.446
0.686   -0.0257   0.0162   -1.084
0.720   -0.0365   0.0130   -2.022
