J       CT       CP       eta
0.101   0.1128   0.0749   0.153
0.131   0.1121   0.0738   0.199
0.153   0.1132   0.0714   0.243
0.181   0.1115   0.0712   0.283
0.208   0.1097   0.0713   0.320
0.240   0.1071   0.0713   0.360
0.265   0.1046   0.0712   0.390
0.294   0.1019   0.0713   0.419
0.321   0.0989   0.0713   0.446
0.349   0.0960   0.0714   0.469
0.375   0.0928   0.0712   0.488
0.399   0.0898   0.0711   0.503
0.430   0.0857   0.0708   0.520
0.452   0.0825   0.0705   0.529
0.479   0.0786   0.0703   0.536
0.506   0.0744   0.0699   0.538
0.532   0.0695   0.0692   0.534
