J       CT       CP       eta
0.407   0.0876   0.0619   0.575
0.434   0.0836   0.0616   0.589
0.458   0.0799   0.0612   0.598
0.477   0.0766   0.0606   0.603
0.500   0.0727   0.0599   0.607
0.522   0.0683   0.0586   0.609
0.545   0.0646   0.0577   0.609
0.568   0.0602   0.0563   0.607
0.594   0.0546   0.0543   0.597
0.616   0.0500   0.0525   0.586
0.642   0.0444   0.0503   0.567
0.669   0.0381   0.0474   0.538
0.690   0.0331   0.0449   0.508
0.716   0.0259   0.0413   0.450
0.738   0.0207   0.0385   0.397
0.765   0.0132   0.0344   0.293
0.784   0.0084   0.0318   0.208
0.807   0.0025   0.0286   0.069
0.830   -0.0038   0.0251   -0.127
0.859   -0.0124   0.0198   -0.536
0.883   -0.0193   0.0153   -1.117
0.908   -0.0261   0.0107   -2.218
0.930   -0.0325   0.0060   -5.002
