J       CT       CP       eta
0.107   0.1458   0.0828   0.188
0.138   0.1410   0.0807   0.241
0.163   0.1369   0.0794   0.281
0.186   0.1333   0.0782   0.317
0.213   0.1288   0.0769   0.357
0.238   0.1249   0.0760   0.392
0.271   0.1189   0.0742   0.433
0.297   0.1139   0.0728   0.465
0.324   0.1089   0.0715   0.493
0.346   0.1040   0.0700   0.515
0.373   0.0982   0.0682   0.537
0.399   0.0922   0.0663   0.555
0.428   0.0839   0.0631   0.569
0.454   0.0768   0.0603   0.578
0.478   0.0701   0.0576   0.581
0.504   0.0629   0.0546   0.581
0.529   0.0563   0.0519   0.575
