J       CT       CP       eta
0.098   0.0834   0.0380   0.214
0.129   0.0791   0.0377   0.271
0.150   0.0759   0.0374   0.305
0.178   0.0713   0.0368   0.346
0.205   0.0667   0.0360   0.379
0.232   0.0618   0.0351   0.408
0.261   0.0557   0.0340   0.427
0.289   0.0499   0.0326   0.443
0.315   0.0452   0.0314   0.453
0.344   0.0392   0.0298   0.453
0.368   0.0341   0.0282   0.446
0.398   0.0272   0.0261   0.414
0.420   0.0226   0.0246   0.387
0.447   0.0168   0.0225   0.333
0.478   0.0098   0.0199   0.236
0.506   0.0029   0.0174   0.085
0.534   -0.0041   0.0146   -0.150
