J       CT       CP       eta
0.127   0.1384   0.0786   0.223
0.158   0.1354   0.0794   0.270
0.191   0.1323   0.0804   0.315
0.225   0.1283   0.0810   0.357
0.260   0.1239   0.0816   0.395
0.292   0.1198   0.0819   0.427
0.324   0.1150   0.0819   0.455
0.357   0.1105   0.0820   0.481
0.386   0.1060   0.0817   0.500
0.417   0.1009   0.0813   0.518
0.448   0.0956   0.0805   0.533
0.484   0.0886   0.0789   0.543
0.512   0.0825   0.0772   0.547
0.536   0.0770   0.0753   0.548
0.573   0.0679   0.0719   0.540
0.601   0.0613   0.0692   0.532
0.638   0.0511   0.0645   0.506
