J       CT       CP       eta
0.172   0.0925   0.0560   0.284
0.218   0.0888   0.0557   0.348
0.259   0.0838   0.0552   0.394
0.308   0.0775   0.0544   0.438
0.350   0.0713   0.0532   0.469
0.400   0.0643   0.0516   0.498
0.436   0.0592   0.0499   0.517
0.475   0.0541   0.0486   0.530
0.526   0.0465   0.0459   0.533
0.568   0.0397   0.0432   0.522
0.620   0.0290   0.0379   0.474
0.663   0.0201   0.0332   0.401
0.706   0.0111   0.0280   0.281
0.744   0.0033   0.0234   0.105
0.787   -0.0058   0.0177   -0.257
0.829   -0.0146   0.0125   -0.971
0.874   -0.0249   0.0072   -3.023
