RPM    CT       CP
2003   0.1074   0.0648
2268   0.1082   0.0641
2534   0.1094   0.0638
2779   0.1114   0.0641
3077   0.1121   0.0638
3320   0.1126   0.0641
3571   0.1154   0.0644
3823   0.1174   0.0644
4087   0.1216   0.0642
4347   0.1271   0.0641
4626   0.1285   0.0642
4866   0.1301   0.0647
5146   0.1308   0.0646
5373   0.1316   0.0644
5644   0.1378   0.0636
5895   0.1387   0.0637
