RPM    CT       CP
2154   0.0768   0.0289
2486   0.0782   0.0290
2775   0.0789   0.0289
3064   0.0799   0.0291
3358   0.0815   0.0299
3647   0.0823   0.0300
3934   0.0839   0.0305
4205   0.0847   0.0307
4519   0.0859   0.0311
4799   0.0875   0.0317
5086   0.0885   0.0321
5343   0.0894   0.0325
5622   0.0910   0.0332
5940   0.0919   0.0335
6227   0.0940   0.0342
6523   0.0953   0.0348
