J       CT       CP       eta
0.145   0.1347   0.0726   0.268
0.180   0.1293   0.0719   0.324
0.215   0.1239   0.0710   0.374
0.251   0.1174   0.0699   0.423
0.287   0.1113   0.0686   0.466
0.328   0.1035   0.0666   0.509
0.361   0.0966   0.0649   0.538
0.390   0.0907   0.0632   0.559
0.438   0.0816   0.0610   0.586
0.469   0.0755   0.0591   0.598
0.502   0.0687   0.0571   0.603
0.539   0.0613   0.0546   0.605
0.569   0.0540   0.0520   0.590
0.612   0.0445   0.0487   0.559
0.648   0.0355   0.0453   0.508
0.675   0.0289   0.0427   0.457
0.719   0.0163   0.0374   0.313
