J       CT       CP       eta
0.088   0.0840   0.0333   0.222
0.111   0.0825   0.0336   0.272
0.132   0.0809   0.0338   0.316
0.154   0.0790   0.0342   0.356
0.176   0.0770   0.0345   0.393
0.199   0.0744   0.0346   0.428
0.220   0.0716   0.0346   0.455
0.242   0.0676   0.0342   0.479
0.264   0.0633   0.0335   0.499
0.284   0.0584   0.0324   0.513
0.304   0.0536   0.0311   0.524
0.328   0.0480   0.0294   0.534
0.349   0.0437   0.0282   0.541
0.372   0.0386   0.0265   0.543
0.395   0.0344   0.0251   0.542
0.419   0.0300   0.0235   0.535
0.439   0.0264   0.0222   0.521
