J       CT       CP       eta
0.105   0.1258   0.0762   0.173
0.131   0.1241   0.0762   0.214
0.157   0.1222   0.0760   0.253
0.184   0.1202   0.0760   0.291
0.212   0.1181   0.0758   0.330
0.236   0.1162   0.0758   0.362
0.263   0.1140   0.0757   0.395
0.290   0.1114   0.0757   0.426
0.318   0.1083   0.0756   0.456
0.341   0.1057   0.0755   0.477
0.367   0.1025   0.0754   0.498
0.393   0.0988   0.0750   0.518
0.419   0.0948   0.0744   0.533
0.449   0.0898   0.0736   0.548
0.474   0.0849   0.0724   0.556
0.495   0.0805   0.0712   0.560
0.525   0.0740   0.0690   0.563
