J       CT       CP       eta
0.094   0.1104   0.0538   0.193
0.118   0.1092   0.0545   0.236
0.144   0.1078   0.0549   0.282
0.175   0.1057   0.0557   0.332
0.199   0.1042   0.0561   0.370
0.227   0.1023   0.0570   0.407
0.254   0.0995   0.0573   0.441
0.281   0.0976   0.0580   0.473
0.310   0.0945   0.0584   0.502
0.336   0.0917   0.0588   0.524
0.364   0.0887   0.0590   0.547
0.391   0.0847   0.0587   0.564
0.418   0.0810   0.0583   0.580
0.445   0.0776   0.0582   0.593
0.471   0.0733   0.0574   0.601
0.497   0.0694   0.0566   0.609
0.521   0.0648   0.0554   0.609
