J       CT       CP       eta
0.086   0.1092   0.0552   0.170
0.109   0.1086   0.0554   0.214
0.132   0.1070   0.0554   0.256
0.153   0.1060   0.0557   0.291
0.175   0.1049   0.0559   0.328
0.196   0.1030   0.0559   0.360
0.220   0.1006   0.0561   0.394
0.243   0.0986   0.0565   0.424
0.264   0.0962   0.0566   0.450
0.287   0.0933   0.0566   0.473
0.310   0.0907   0.0567   0.496
0.331   0.0876   0.0564   0.514
0.353   0.0851   0.0564   0.533
0.371   0.0824   0.0561   0.546
0.392   0.0795   0.0557   0.560
0.414   0.0766   0.0553   0.573
0.435   0.0733   0.0547   0.583
