J       CT       CP       eta
0.499   0.0961   0.0766   0.627
0.528   0.0925   0.0765   0.639
0.564   0.0874   0.0758   0.650
0.587   0.0835   0.0752   0.652
0.622   0.0775   0.0736   0.655
0.650   0.0725   0.0720   0.655
0.675   0.0676   0.0702   0.650
0.702   0.0625   0.0681   0.644
0.741   0.0546   0.0644   0.628
0.770   0.0486   0.0613   0.610
0.794   0.0430   0.0582   0.587
0.825   0.0362   0.0547   0.546
0.859   0.0285   0.0500   0.489
0.887   0.0222   0.0460   0.428
0.914   0.0160   0.0421   0.348
0.946   0.0083   0.0368   0.214
0.972   0.0025   0.0321   0.074
1.007   -0.0062   0.0253   -0.247
1.032   -0.0122   0.0203   -0.622
