J       CT       CP       eta
0.108   0.0965   0.0409   0.254
0.130   0.0940   0.0410   0.299
0.159   0.0910   0.0412   0.351
0.185   0.0874   0.0411   0.393
0.210   0.0838   0.0409   0.430
0.236   0.0799   0.0405   0.465
0.264   0.0749   0.0399   0.496
0.290   0.0697   0.0386   0.524
0.315   0.0649   0.0376   0.544
0.340   0.0592   0.0359   0.560
0.372   0.0523   0.0339   0.574
0.397   0.0467   0.0321   0.577
0.421   0.0413   0.0303   0.574
0.447   0.0356   0.0283   0.561
0.471   0.0302   0.0264   0.538
0.498   0.0241   0.0243   0.494
0.523   0.0182   0.0221   0.431
