J       CT       CP       eta
0.143   0.0917   0.0444   0.295
0.179   0.0877   0.0448   0.350
0.215   0.0833   0.0451   0.398
0.254   0.0779   0.0450   0.439
0.288   0.0726   0.0444   0.470
0.324   0.0662   0.0433   0.495
0.359   0.0596   0.0419   0.511
0.394   0.0526   0.0402   0.516
0.430   0.0453   0.0379   0.515
0.469   0.0361   0.0343   0.493
0.505   0.0280   0.0310   0.455
0.535   0.0209   0.0278   0.402
0.571   0.0124   0.0239   0.297
0.607   0.0036   0.0195   0.111
0.643   -0.0051   0.0153   -0.215
0.685   -0.0158   0.0101   -1.070
