J       CT       CP       eta
0.098   0.0986   0.0435   0.223
0.122   0.0948   0.0429   0.270
0.149   0.0904   0.0422   0.319
0.173   0.0856   0.0413   0.359
0.204   0.0799   0.0403   0.404
0.230   0.0745   0.0390   0.439
0.257   0.0686   0.0375   0.470
0.281   0.0630   0.0360   0.492
0.310   0.0563   0.0343   0.508
0.336   0.0505   0.0330   0.515
0.361   0.0447   0.0315   0.512
0.386   0.0389   0.0299   0.502
0.411   0.0330   0.0286   0.474
0.439   0.0258   0.0270   0.419
0.461   0.0199   0.0256   0.359
0.489   0.0124   0.0239   0.254
0.515   0.0051   0.0219   0.121
