J       CT       CP       eta
0.095   0.0733   0.0302   0.230
0.121   0.0707   0.0302   0.283
0.146   0.0678   0.0301   0.329
0.173   0.0645   0.0299   0.374
0.200   0.0611   0.0297   0.411
0.228   0.0574   0.0294   0.445
0.254   0.0535   0.0289   0.470
0.280   0.0496   0.0284   0.489
0.309   0.0445   0.0274   0.502
0.334   0.0401   0.0264   0.506
0.362   0.0345   0.0251   0.499
0.387   0.0303   0.0240   0.489
0.417   0.0245   0.0223   0.458
0.443   0.0190   0.0206   0.409
0.470   0.0129   0.0185   0.329
0.494   0.0073   0.0164   0.221
0.524   0.0001   0.0135   0.005
