J       CT       CP       eta
0.091   0.0604   0.0275   0.199
0.113   0.0583   0.0274   0.240
0.135   0.0559   0.0272   0.279
0.160   0.0533   0.0269   0.315
0.179   0.0510   0.0267   0.343
0.205   0.0476   0.0262   0.373
0.227   0.0445   0.0257   0.393
0.251   0.0405   0.0250   0.408
0.270   0.0378   0.0245   0.417
0.293   0.0345   0.0239   0.423
0.318   0.0301   0.0228   0.419
0.346   0.0260   0.0221   0.408
0.365   0.0222   0.0210   0.386
0.384   0.0186   0.0201   0.357
0.404   0.0150   0.0191   0.318
0.427   0.0107   0.0179   0.257
0.452   0.0055   0.0161   0.155
