J       CT       CP       eta
0.097   0.1399   0.0705   0.192
0.125   0.1368   0.0704   0.243
0.152   0.1323   0.0696   0.290
0.179   0.1288   0.0693   0.332
0.208   0.1235   0.0685   0.375
0.238   0.1186   0.0681   0.414
0.264   0.1140   0.0674   0.447
0.290   0.1088   0.0662   0.476
0.318   0.1025   0.0646   0.505
0.344   0.0960   0.0626   0.527
0.373   0.0870   0.0600   0.541
0.398   0.0804   0.0577   0.555
0.429   0.0728   0.0548   0.569
0.450   0.0673   0.0532   0.568
0.481   0.0597   0.0509   0.564
0.503   0.0539   0.0490   0.553
0.535   0.0459   0.0461   0.533
