J       CT       CP       eta
0.115   0.0938   0.0631   0.171
0.145   0.0934   0.0628   0.216
0.175   0.0923   0.0630   0.256
0.204   0.0908   0.0632   0.292
0.238   0.0883   0.0635   0.331
0.271   0.0851   0.0638   0.361
0.300   0.0818   0.0637   0.385
0.331   0.0779   0.0634   0.407
0.361   0.0737   0.0628   0.423
0.390   0.0693   0.0621   0.435
0.421   0.0649   0.0614   0.445
0.450   0.0599   0.0601   0.449
0.483   0.0536   0.0585   0.442
0.511   0.0485   0.0570   0.435
0.539   0.0432   0.0552   0.421
0.573   0.0360   0.0524   0.393
0.601   0.0302   0.0502   0.362
