J       CT       CP       eta
0.489   0.0697   0.0584   0.584
0.520   0.0649   0.0574   0.588
0.547   0.0607   0.0564   0.589
0.573   0.0559   0.0549   0.583
0.606   0.0487   0.0525   0.562
0.631   0.0435   0.0504   0.545
0.661   0.0365   0.0475   0.509
0.692   0.0284   0.0435   0.451
0.720   0.0205   0.0395   0.374
0.749   0.0121   0.0349   0.260
0.785   0.0019   0.0293   0.052
0.813   -0.0059   0.0247   -0.194
0.841   -0.0136   0.0199   -0.574
0.871   -0.0216   0.0148   -1.274
0.897   -0.0284   0.0103   -2.472
