J       CT       CP       eta
0.492   0.0270   0.0359   0.370
0.517   0.0226   0.0346   0.338
0.548   0.0161   0.0324   0.273
0.571   0.0113   0.0308   0.210
0.605   0.0038   0.0282   0.082
0.634   -0.0028   0.0259   -0.067
0.664   -0.0094   0.0237   -0.263
0.692   -0.0160   0.0214   -0.518
0.721   -0.0229   0.0191   -0.865
0.757   -0.0304   0.0162   -1.423
0.783   -0.0366   0.0141   -2.035
0.812   -0.0431   0.0119   -2.952
0.842   -0.0495   0.0097   -4.284
0.871   -0.0561   0.0077   -6.325
0.898   -0.0622   0.0058   -9.613
