RPM    CT       CP
2486   0.0909   0.1139
2749   0.0925   0.1137
3028   0.0931   0.1124
3274   0.0948   0.1129
3541   0.0962   0.1130
3805   0.0975   0.1128
4053   0.0978   0.1127
4322   0.0983   0.1125
4580   0.0998   0.1126
4846   0.1007   0.1131
5108   0.1011   0.1127
5371   0.1019   0.1126
5619   0.1040   0.1125
5902   0.1048   0.1120
6146   0.1069   0.1118
6395   0.1082   0.1119
