J       CT       CP       eta
0.176   0.0979   0.0546   0.315
0.216   0.0956   0.0545   0.378
0.265   0.0919   0.0548   0.445
0.310   0.0875   0.0547   0.496
0.355   0.0830   0.0547   0.539
0.398   0.0777   0.0545   0.568
0.435   0.0716   0.0536   0.581
0.473   0.0626   0.0510   0.581
0.537   0.0463   0.0440   0.565
0.564   0.0407   0.0413   0.554
0.611   0.0312   0.0368   0.519
0.664   0.0219   0.0323   0.450
0.691   0.0172   0.0301   0.394
0.737   0.0084   0.0254   0.243
0.786   -0.0017   0.0198   -0.066
0.833   -0.0110   0.0146   -0.628
0.874   -0.0192   0.0099   -1.693
