J       CT       CP       eta
0.130   0.0931   0.0413   0.293
0.163   0.0893   0.0415   0.352
0.199   0.0842   0.0413   0.406
0.232   0.0785   0.0406   0.448
0.265   0.0720   0.0393   0.485
0.299   0.0644   0.0373   0.516
0.334   0.0568   0.0351   0.541
0.364   0.0508   0.0333   0.555
0.398   0.0437   0.0309   0.564
0.432   0.0366   0.0285   0.556
0.462   0.0304   0.0262   0.536
0.497   0.0230   0.0237   0.482
0.530   0.0158   0.0211   0.397
0.557   0.0101   0.0190   0.296
0.590   0.0027   0.0161   0.101
0.630   -0.0063   0.0126   -0.317
0.653   -0.0118   0.0104   -0.744
